experiment_id,model,method,policy,round,labeled_count,unlabeled_count,train_seconds,query_seconds,test_eval_seconds,modelled_total_seconds,logged_round_seconds,train_share,query_share,eval_share
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,1,1779,6331,9298.265397077928,921.7540298144447,277.35347635942105,10497.372903251795,220.49393439292908,0.8857707049920637,0.08780806762889322,0.02642122737904306
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,2,2288,5822,11958.645996916413,847.6475104092241,277.35347635942105,13083.64698368506,443.9040057659149,0.9140147247803697,0.06478679159306398,0.021198483626566282
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,3,2790,5320,14582.439830155941,774.5601376362953,277.35347635942105,15634.353444151659,547.4673686027527,0.9327178052003675,0.04954219184075277,0.017740002958879675
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,4,3248,4862,16976.259701916308,707.8788294092009,277.35347635942105,17961.49200768493,657.542462348938,0.9451475241952569,0.039410914700534386,0.01544156110420859
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,5,3613,4497,18883.99824600481,654.7376121539837,277.35347635942105,19816.089334518212,760.3972411155701,0.952962914489401,0.03304070753322037,0.01399637797737877
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,6,3833,4277,20033.86805340062,622.7072894248117,277.35347635942105,20933.928819184854,821.8737361431122,0.9570046896806406,0.029746317320718745,0.013248992998640612
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,7,4001,4109,20911.9504517756,598.2477702498077,277.35347635942105,21787.55169838483,850.4311442375183,0.9598118568469471,0.0274582375537935,0.012729905599259326
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,8,4174,3936,21816.16625486412,573.0602891945952,277.35347635942105,22666.58002041814,895.5547828674316,0.9624816022184219,0.025282168226454117,0.012236229555123887
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,9,4329,3781,22626.301800983896,550.4934709081331,277.35347635942105,23454.14874825145,856.0794620513916,0.9647036029252918,0.02347104884585391,0.01182534822885432
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,10,4488,3622,23457.344070874504,527.3442831175042,277.35347635942105,24262.04183035143,867.1213283538818,0.9668330569577098,0.021735362868668576,0.011431580173621506
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,11,4646,3464,24283.159659822402,504.3406877029171,277.35347635942105,25064.85382388474,899.9076683521271,0.9688131369305075,0.02012142944246186,0.011065433627030613
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,12,4800,3310,25088.06852499947,481.9194617924967,277.35347635942105,25847.341463151388,923.3467478752136,0.970624718242905,0.01864483674189599,0.01073044501519907
