experiment_id,model,policy,sigma,predicted_class,count,share
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.01,bcc,64,0.03359580052493438
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.01,bkl,209,0.10971128608923884
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.01,df,14,0.007349081364829396
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.01,mel,251,0.13175853018372705
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.01,nv,1329,0.6976377952755906
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.01,vasc,13,0.0068241469816272965
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.01,akiec,24,0.012598425196850394
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.01,bcc,66,0.03464566929133858
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.01,bkl,235,0.12335958005249344
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.01,df,23,0.012073490813648294
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.01,mel,272,0.14278215223097113
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.01,nv,1268,0.6656167979002625
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.01,vasc,17,0.008923884514435695
resnet50_entropy_dual_metric,resnet50,dual_metric,0.01,akiec,24,0.012598425196850394
resnet50_entropy_dual_metric,resnet50,dual_metric,0.01,bcc,74,0.03884514435695538
resnet50_entropy_dual_metric,resnet50,dual_metric,0.01,bkl,267,0.14015748031496064
resnet50_entropy_dual_metric,resnet50,dual_metric,0.01,df,13,0.0068241469816272965
resnet50_entropy_dual_metric,resnet50,dual_metric,0.01,mel,172,0.09028871391076115
resnet50_entropy_dual_metric,resnet50,dual_metric,0.01,nv,1342,0.7044619422572178
resnet50_entropy_dual_metric,resnet50,dual_metric,0.01,vasc,13,0.0068241469816272965
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.01,akiec,29,0.015223097112860892
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.01,bcc,72,0.03779527559055118
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.01,bkl,270,0.14173228346456693
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.01,df,14,0.007349081364829396
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.01,mel,197,0.10341207349081365
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.01,nv,1308,0.6866141732283465
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.01,vasc,15,0.007874015748031496
densenet169_entropy_dual_metric,densenet169,dual_metric,0.02,akiec,16,0.008398950131233596
densenet169_entropy_dual_metric,densenet169,dual_metric,0.02,bcc,50,0.026246719160104987
densenet169_entropy_dual_metric,densenet169,dual_metric,0.02,bkl,288,0.15118110236220472
densenet169_entropy_dual_metric,densenet169,dual_metric,0.02,df,11,0.005774278215223097
densenet169_entropy_dual_metric,densenet169,dual_metric,0.02,mel,210,0.11023622047244094
densenet169_entropy_dual_metric,densenet169,dual_metric,0.02,nv,1321,0.6934383202099738
densenet169_entropy_dual_metric,densenet169,dual_metric,0.02,vasc,9,0.004724409448818898
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.02,akiec,12,0.006299212598425197
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.02,bcc,55,0.028871391076115485
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.02,bkl,391,0.205249343832021
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.02,df,10,0.005249343832020997
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.02,mel,173,0.09081364829396325
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.02,nv,1257,0.6598425196850394
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.02,vasc,7,0.003674540682414698
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.02,akiec,25,0.013123359580052493
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.02,bcc,45,0.023622047244094488
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.02,bkl,172,0.09028871391076115
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.02,df,51,0.026771653543307086
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.02,mel,310,0.16272965879265092
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.02,nv,1282,0.6729658792650919
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.02,vasc,20,0.010498687664041995
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.02,akiec,33,0.01732283464566929
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.02,bcc,50,0.026246719160104987
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.02,bkl,188,0.09868766404199475
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.02,df,125,0.06561679790026247
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.02,mel,282,0.14803149606299212
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.02,nv,1189,0.6241469816272965
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.02,vasc,38,0.01994750656167979
resnet50_entropy_dual_metric,resnet50,dual_metric,0.02,akiec,8,0.004199475065616798
resnet50_entropy_dual_metric,resnet50,dual_metric,0.02,bcc,46,0.024146981627296588
resnet50_entropy_dual_metric,resnet50,dual_metric,0.02,bkl,372,0.1952755905511811
resnet50_entropy_dual_metric,resnet50,dual_metric,0.02,df,27,0.014173228346456693
resnet50_entropy_dual_metric,resnet50,dual_metric,0.02,mel,93,0.048818897637795275
resnet50_entropy_dual_metric,resnet50,dual_metric,0.02,nv,1349,0.7081364829396325
resnet50_entropy_dual_metric,resnet50,dual_metric,0.02,vasc,10,0.005249343832020997
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.02,akiec,7,0.003674540682414698
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.02,bcc,40,0.02099737532808399
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.02,bkl,404,0.2120734908136483
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.02,df,20,0.010498687664041995
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.02,mel,128,0.06719160104986877
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.02,nv,1298,0.6813648293963255
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.02,vasc,8,0.004199475065616798
densenet169_entropy_dual_metric,densenet169,dual_metric,0.03,akiec,3,0.0015748031496062992
densenet169_entropy_dual_metric,densenet169,dual_metric,0.03,bcc,18,0.009448818897637795
densenet169_entropy_dual_metric,densenet169,dual_metric,0.03,bkl,400,0.2099737532808399
densenet169_entropy_dual_metric,densenet169,dual_metric,0.03,df,4,0.002099737532808399
densenet169_entropy_dual_metric,densenet169,dual_metric,0.03,mel,166,0.08713910761154856
densenet169_entropy_dual_metric,densenet169,dual_metric,0.03,nv,1311,0.6881889763779527
densenet169_entropy_dual_metric,densenet169,dual_metric,0.03,vasc,3,0.0015748031496062992
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.03,akiec,1,0.0005249343832020997
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.03,bcc,13,0.0068241469816272965
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.03,bkl,580,0.30446194225721784
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.03,df,13,0.0068241469816272965
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.03,mel,92,0.048293963254593175
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.03,nv,1204,0.6320209973753281
densenet169_entropy_uncertainty_only,densenet169,uncertainty_only,0.03,vasc,2,0.0010498687664041995
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.03,akiec,263,0.13805774278215224
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.03,bcc,19,0.009973753280839895
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.03,bkl,188,0.09868766404199475
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.03,df,454,0.23832020997375328
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.03,mel,122,0.06404199475065617
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.03,nv,847,0.44461942257217846
efficientnet_b4_entropy_dual_metric,efficientnet_b4,dual_metric,0.03,vasc,12,0.006299212598425197
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.03,akiec,144,0.07559055118110236
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.03,bcc,25,0.013123359580052493
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.03,bkl,153,0.08031496062992126
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.03,df,944,0.49553805774278215
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.03,mel,126,0.06614173228346457
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.03,nv,489,0.2566929133858268
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,uncertainty_only,0.03,vasc,24,0.012598425196850394
resnet50_entropy_dual_metric,resnet50,dual_metric,0.03,akiec,4,0.002099737532808399
resnet50_entropy_dual_metric,resnet50,dual_metric,0.03,bcc,30,0.015748031496062992
resnet50_entropy_dual_metric,resnet50,dual_metric,0.03,bkl,377,0.1979002624671916
resnet50_entropy_dual_metric,resnet50,dual_metric,0.03,df,49,0.025721784776902887
resnet50_entropy_dual_metric,resnet50,dual_metric,0.03,mel,64,0.03359580052493438
resnet50_entropy_dual_metric,resnet50,dual_metric,0.03,nv,1377,0.7228346456692913
resnet50_entropy_dual_metric,resnet50,dual_metric,0.03,vasc,4,0.002099737532808399
resnet50_entropy_uncertainty_only,resnet50,uncertainty_only,0.03,akiec,2,0.0010498687664041995
