experiment_id,model,method,policy,corruption,accuracy,melanoma_recall,fn_rate_malignant,risk_auroc,mean_confidence,accuracy_clean,melanoma_recall_clean,risk_auroc_clean,fn_rate_malignant_clean,accuracy_retained,melanoma_recall_retained,risk_auroc_retained,fn_rate_increase
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,clean,0.889763779527559,0.7511961722488039,0.1977077363896848,0.9559547660963016,0.9677719807716536,0.889763779527559,0.7511961722488039,0.9559547660963016,0.1977077363896848,1.0,1.0,1.0,0.0
densenet169_entropy_uncertainty_only,densenet169,entropy,uncertainty_only,clean,0.8876640419947507,0.7033492822966507,0.22922636103151864,0.9505970050308999,0.9668141743149606,0.8876640419947507,0.7033492822966507,0.9505970050308999,0.22922636103151864,1.0,1.0,1.0,0.0
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,clean,0.8745406824146982,0.6842105263157895,0.24355300859598855,0.9428407274548656,0.9441792345879265,0.8745406824146982,0.6842105263157895,0.9428407274548656,0.24355300859598855,1.0,1.0,1.0,0.0
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,clean,0.8503937007874016,0.6889952153110048,0.24355300859598855,0.9312173599192699,0.9290438651863516,0.8503937007874016,0.6889952153110048,0.9312173599192699,0.24355300859598855,1.0,1.0,1.0,0.0
resnet50_entropy_dual_metric,resnet50,entropy,dual_metric,clean,0.8986876640419947,0.7272727272727273,0.22063037249283668,0.9545432782610617,0.9719193536955382,0.8986876640419947,0.7272727272727273,0.9545432782610617,0.22063037249283668,1.0,1.0,1.0,0.0
resnet50_entropy_uncertainty_only,resnet50,entropy,uncertainty_only,clean,0.8934383202099737,0.6555023923444976,0.24068767908309455,0.9467188662428827,0.968817128776903,0.8934383202099737,0.6555023923444976,0.9467188662428827,0.24068767908309455,1.0,1.0,1.0,0.0
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,blur_1.5,0.8047244094488188,0.28708133971291866,0.44126074498567336,0.9011663879906601,0.9659916040104988,0.889763779527559,0.7511961722488039,0.9559547660963016,0.1977077363896848,0.9044247787610619,0.38216560509554137,0.9426872692634055,0.24355300859598855
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,brightness_0.7,0.8887139107611548,0.7559808612440191,0.20916905444126074,0.9512820323951651,0.9679365340052495,0.889763779527559,0.7511961722488039,0.9559547660963016,0.1977077363896848,0.9988200589970501,1.0063694267515921,0.9951119719605375,0.011461318051575936
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,contrast_0.7,0.8824146981627297,0.6650717703349283,0.24355300859598855,0.9540322699449768,0.9658367682467192,0.889763779527559,0.7511961722488039,0.9559547660963016,0.1977077363896848,0.9917404129793511,0.8853503184713376,0.9979889256066211,0.045845272206303744
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,gaussian_noise_0.01,0.8850393700787401,0.7320574162679426,0.2349570200573066,0.950808774242971,0.9675814396377953,0.889763779527559,0.7511961722488039,0.9559547660963016,0.1977077363896848,0.9946902654867257,0.9745222929936306,0.9946169086280677,0.037249283667621785
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,gaussian_noise_0.02,0.8404199475065617,0.6363636363636364,0.38108882521489973,0.9224593218965682,0.9649093260892389,0.889763779527559,0.7511961722488039,0.9559547660963016,0.1977077363896848,0.944542772861357,0.8471337579617834,0.9649612665916045,0.18338108882521492
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,gaussian_noise_0.03,0.7811023622047244,0.5023923444976076,0.5931232091690545,0.8818493529069468,0.9569613674278216,0.889763779527559,0.7511961722488039,0.9559547660963016,0.1977077363896848,0.8778761061946903,0.6687898089171974,0.9224802095061791,0.39541547277936967
