model,method,method_key,round,total_labels,labeled_count,accuracy,f1_macro,fn_rate_malignant,unsafe_auto_accepts
densenet169,VAAL,baseline_vaal,9,3839,4329,0.8551181102362204,0.7420756391675237,0.2979942693409742,685
densenet169,VAAL,baseline_vaal,10,3998,4488,0.8414698162729659,0.6936002163668079,0.3237822349570201,636
densenet169,VAAL,baseline_vaal,11,4156,4646,0.8545931758530184,0.7542399928548192,0.3065902578796561,617
densenet169,VAAL,baseline_vaal,12,4310,4800,0.8561679790026246,0.7384213283858568,0.2779369627507163,591
densenet169,VAAL,baseline_vaal,13,4464,4954,0.8661417322834646,0.7677330775852944,0.2779369627507163,590
densenet169,VAAL,baseline_vaal,14,4620,5110,0.8593175853018372,0.7666610943881712,0.3037249283667622,560
densenet169,VAAL,baseline_vaal,15,4773,5263,0.863517060367454,0.7400337055218126,0.2865329512893982,526
densenet169,Dual-metric (ours),entropy_dual_metric,1,1289,1779,0.6010498687664042,0.3933144363892912,0.2664756446991404,995
densenet169,Dual-metric (ours),entropy_dual_metric,2,1798,2288,0.7805774278215223,0.608733648153906,0.2664756446991404,767
densenet169,Dual-metric (ours),entropy_dual_metric,3,2300,2790,0.8220472440944881,0.6555914601879154,0.3553008595988539,581
densenet169,Dual-metric (ours),entropy_dual_metric,4,2758,3248,0.8503937007874016,0.7279918139992417,0.2951289398280802,444
densenet169,Dual-metric (ours),entropy_dual_metric,5,3123,3613,0.8708661417322835,0.7737093578018693,0.2636103151862464,345
densenet169,Dual-metric (ours),entropy_dual_metric,6,3343,3833,0.8750656167979003,0.7753057581187688,0.2664756446991404,280
densenet169,Dual-metric (ours),entropy_dual_metric,7,3511,4001,0.883989501312336,0.7880824721930991,0.2521489971346705,232
densenet169,Dual-metric (ours),entropy_dual_metric,8,3684,4174,0.8824146981627297,0.7844428452998697,0.2693409742120344,188
densenet169,Dual-metric (ours),entropy_dual_metric,9,3839,4329,0.884514435695538,0.801759196406166,0.2492836676217765,168
densenet169,Dual-metric (ours),entropy_dual_metric,10,3998,4488,0.889763779527559,0.7974212559250974,0.2693409742120344,128
densenet169,Dual-metric (ours),entropy_dual_metric,11,4156,4646,0.8971128608923884,0.8100348115142845,0.1891117478510028,110
densenet169,Dual-metric (ours),entropy_dual_metric,12,4310,4800,0.8855643044619422,0.8143796919813845,0.2120343839541547,90
densenet169,Dual-metric (ours),entropy_dual_metric,13,4464,4954,0.889763779527559,0.7801235027216011,0.2177650429799427,73
densenet169,Dual-metric (ours),entropy_dual_metric,14,4620,5110,0.8850393700787401,0.7946153339074787,0.1862464183381088,54
densenet169,Dual-metric (ours),entropy_dual_metric,15,4773,5263,0.889763779527559,0.8166412846028936,0.1977077363896848,40
densenet169,Uncertainty-only,entropy_uncertainty_only,1,1070,1560,0.6010498687664042,0.3933144363892912,0.2664756446991404,1185
densenet169,Uncertainty-only,entropy_uncertainty_only,2,1571,2061,0.7742782152230971,0.5796485095321481,0.2492836676217765,1029
densenet169,Uncertainty-only,entropy_uncertainty_only,3,1976,2466,0.8220472440944881,0.6963476161794547,0.2865329512893982,870
densenet169,Uncertainty-only,entropy_uncertainty_only,4,2310,2800,0.8467191601049868,0.7048830630728757,0.3094555873925501,766
densenet169,Uncertainty-only,entropy_uncertainty_only,5,2708,3198,0.8535433070866142,0.7473178899114156,0.2893982808022922,661
