metric,n_pairs,mean_dual,mean_uncertainty_only,mean_difference,diff_ci_low,diff_ci_high,pairs_dual_higher,wilcoxon_stat,wilcoxon_p,sign_test_p,permutation_p,rank_biserial_effect,cohens_dz,wilcoxon_p_holm,significant_holm_0.05
unsafe_auto_accepts_total,12,5503.916666666667,9534.416666666666,-4030.5,-4319.50625,-3715.229166666667,0,0.0,0.00048828125,0.00048828125,0.0007499625018749063,-1.0,-7.208177601799673,0.0029296875,True
final_accuracy,12,0.8888013998250218,0.8828083989501311,0.00599300087489064,0.002799650043744513,0.0100174978127734,11,4.0,0.00341796875,0.00634765625,0.0028998550072496373,0.8974358974358975,0.9002890682445569,0.013671875,True
final_f1_macro,12,0.8024694557543383,0.7938830705500548,0.008586385204283092,-0.0021846659157235384,0.019666559768709967,8,23.0,0.2333984375,0.3876953125,0.1728413579321034,0.41025641025641024,0.4217659784644646,0.3046875,False
final_fn_rate_malignant,12,0.22277936962750713,0.23471824259789875,-0.011938872970391605,-0.024600047755491895,0.002148997134670469,3,16.5,0.15234375,0.2265625,0.13044347782610868,-0.5,-0.4850608745499531,0.3046875,False
final_recall_mel,12,0.7149122807017543,0.6905901116427433,0.02432216905901115,0.004385964912280688,0.04385964912280701,8,14.5,0.056640625,0.3876953125,0.046047697615119246,0.6282051282051282,0.661836122946158,0.169921875,False
total_queries,12,4765.333333333333,4382.916666666667,382.4166666666667,315.1666666666667,447.4291666666665,12,0.0,0.00048828125,0.00048828125,0.0007499625018749063,1.0,3.137621803850403,0.0029296875,True
