model,device,ms_per_image_inference,ms_per_image_mc_dropout,ms_per_image_train_step,train_to_inference_ratio
efficientnet_b4,cpu,115.12887343750815,3368.8799187500535,584.3316182291574,5.075456753655564
resnet50,cpu,132.62593750001392,4004.4800281250446,423.79913333335634,3.1954468433696226
densenet169,cpu,145.59237604169084,4377.014881250034,522.6680942708223,3.5899413724874893
