model,method,policy,population,n,n_malignant,auc_risk_head,auc_summed_probs,mean_risk_head,mean_summed_probs,frac_flagged_risk_head_at_0.5,frac_flagged_summed_at_0.5
efficientnet_b4,margin,dual_metric,confidently_misclassified,97,46,0.39215686274509803,0.3955669224211424,,,,
efficientnet_b4,margin,dual_metric,false_negatives_only,88,88,,,0.1066340448184091,0.11183510269950721,0.011363636363636364,0.011363636363636364
efficientnet_b4,margin,uncertainty_only,all_images,1905,349,0.9459684666435869,0.9465604997016817,,,,
efficientnet_b4,margin,uncertainty_only,misclassified,252,97,0.4147655470568673,0.39787163285666777,,,,
efficientnet_b4,margin,uncertainty_only,confidently_misclassified,88,37,0.314785373608903,0.3142554319024907,,,,
efficientnet_b4,margin,uncertainty_only,false_negatives_only,75,75,,,0.12267443783939998,0.10778497808133407,0.05333333333333334,0.013333333333333334
efficientnet_b4,mc_dropout,dual_metric,all_images,1905,349,0.9538085311687451,0.9544143752624097,,,,
efficientnet_b4,mc_dropout,dual_metric,misclassified,230,93,0.4184129974099364,0.40051801271485754,,,,
efficientnet_b4,mc_dropout,dual_metric,confidently_misclassified,73,35,0.3924812030075188,0.3827067669172932,,,,
efficientnet_b4,mc_dropout,dual_metric,false_negatives_only,80,80,,,0.1672157877257625,0.1453449060710446,0.0875,0.0125
efficientnet_b4,mc_dropout,uncertainty_only,all_images,1905,349,0.9497757087823454,0.9506098953307651,,,,
efficientnet_b4,mc_dropout,uncertainty_only,misclassified,244,98,0.4064858820240425,0.388454011741683,,,,
efficientnet_b4,mc_dropout,uncertainty_only,confidently_misclassified,73,33,0.3659090909090909,0.3696969696969697,,,,
efficientnet_b4,mc_dropout,uncertainty_only,false_negatives_only,81,81,,,0.16586958952874073,0.1467941048071736,0.1111111111111111,0.024691358024691357
resnet50,entropy,dual_metric,all_images,1905,349,0.9545432782610617,0.9546942789166255,,,,
resnet50,entropy,dual_metric,misclassified,193,91,0.41381167851756084,0.39043309631544926,,,,
resnet50,entropy,dual_metric,confidently_misclassified,118,55,0.35209235209235207,0.3526695526695527,,,,
resnet50,entropy,dual_metric,false_negatives_only,77,77,,,0.09283342339263245,0.07643758959501344,0.03896103896103896,0.0
resnet50,entropy,uncertainty_only,all_images,1905,349,0.9467188662428827,0.94591966765124,,,,
resnet50,entropy,uncertainty_only,misclassified,203,99,0.39034576534576537,0.3525641025641026,,,,
resnet50,entropy,uncertainty_only,confidently_misclassified,115,53,0.3676202069385271,0.34205721241631165,,,,
resnet50,entropy,uncertainty_only,false_negatives_only,84,84,,,0.11090430029111548,0.08654517877474971,0.05952380952380952,0.0
resnet50,least_confidence,dual_metric,all_images,1905,349,0.9580936351382209,0.9580917936668115,,,,
resnet50,least_confidence,dual_metric,misclassified,196,89,0.4712800588049984,0.4505933004305366,,,,
resnet50,least_confidence,dual_metric,confidently_misclassified,105,50,0.47454545454545455,0.4778181818181818,,,,
resnet50,least_confidence,dual_metric,false_negatives_only,76,76,,,0.11022084229954428,0.10028726365319747,0.07894736842105263,0.0
resnet50,least_confidence,uncertainty_only,all_images,1905,349,0.9528325513218082,0.9542670575496645,,,,
resnet50,least_confidence,uncertainty_only,misclassified,203,87,0.38416567578279825,0.3680142687277051,,,,
resnet50,least_confidence,uncertainty_only,confidently_misclassified,123,53,0.3975741239892183,0.3948787061994609,,,,
resnet50,least_confidence,uncertainty_only,false_negatives_only,71,71,,,0.09824520043869323,0.0896152642210126,0.04225352112676056,0.0
resnet50,margin,dual_metric,all_images,1905,349,0.9540930385014842,0.9515306310354226,,,,
resnet50,margin,dual_metric,misclassified,199,95,0.41234817813765184,0.3896761133603239,,,,
resnet50,margin,dual_metric,confidently_misclassified,128,65,0.37655677655677655,0.37264957264957266,,,,
resnet50,margin,dual_metric,false_negatives_only,79,79,,,0.06966790852514139,0.06028246332151911,0.02531645569620253,0.0
resnet50,margin,uncertainty_only,all_images,1905,349,0.95105368994041,0.949287718858877,,,,
resnet50,margin,uncertainty_only,misclassified,201,102,0.4506833036244801,0.4177064765300059,,,,
resnet50,margin,uncertainty_only,confidently_misclassified,127,71,0.40518108651911466,0.40090543259557343,,,,
resnet50,margin,uncertainty_only,false_negatives_only,88,88,,,0.1019291984472995,0.07085913052458531,0.06818181818181818,0.0
resnet50,mc_dropout,dual_metric,all_images,1905,349,0.9588965166726822,0.9588265407591282,,,,
resnet50,mc_dropout,dual_metric,misclassified,207,79,0.40456882911392406,0.385185917721519,,,,
resnet50,mc_dropout,dual_metric,confidently_misclassified,119,50,0.3814492753623188,0.36492753623188406,,,,
resnet50,mc_dropout,dual_metric,false_negatives_only,67,67,,,0.09705382647642001,0.0828662545094958,0.04477611940298507,0.0
resnet50,mc_dropout,uncertainty_only,all_images,1905,349,0.9564473596982933,0.9560716995307931,,,,
resnet50,mc_dropout,uncertainty_only,misclassified,213,92,0.4294825727632052,0.41466043837585337,,,,
resnet50,mc_dropout,uncertainty_only,confidently_misclassified,117,51,0.3799762329174094,0.3787878787878788,,,,
resnet50,mc_dropout,uncertainty_only,false_negatives_only,79,79,,,0.08699300627136201,0.07202614138710203,0.012658227848101266,0.0
