metric,better_is,comparison,n_experiments,mean_dual,mean_other,mean_difference,diff_ci_low,diff_ci_high,wilcoxon_p,rank_biserial_effect,wilcoxon_p_holm
unsafe_auto_accepts,lower,dual_metric vs uncertainty_only,24,6049.875,7716.125,-1666.25,-2205.603125,-1119.0770833333333,1.1920928955078125e-07,-1.0,9.5367431640625e-07
unsafe_auto_accepts,lower,dual_metric vs risk_only,24,6049.875,7004.291666666667,-954.4166666666666,-1007.125,-900.9125,1.8179489321282247e-05,-1.0,1.8179489321282247e-05
unsafe_auto_accepts,lower,dual_metric vs random_matched,24,6049.875,7832.291666666667,-1782.4166666666667,-2220.0645833333333,-1334.6458333333337,1.1920928955078125e-07,-1.0,9.5367431640625e-07
high_risk_catch_rate,higher,dual_metric vs uncertainty_only,24,0.2931530039949104,0.1258251184160024,0.167327885578908,0.12321322184950892,0.2096265416294771,1.1920928955078125e-07,1.0,9.5367431640625e-07
high_risk_catch_rate,higher,dual_metric vs risk_only,24,0.2931530039949104,0.1723663585276547,0.12078664546725566,0.10460281421128279,0.13676108911740253,1.1920928955078125e-07,1.0,9.5367431640625e-07
high_risk_catch_rate,higher,dual_metric vs random_matched,24,0.2931530039949104,0.10212833927905578,0.19102466471585464,0.15655900396213862,0.22343666354448632,1.1920928955078125e-07,1.0,9.5367431640625e-07
n_escalated,lower,dual_metric vs uncertainty_only,24,6200.583333333333,4338.666666666667,1861.9166666666667,1246.09375,2487.777083333333,1.1920928955078125e-07,1.0,9.5367431640625e-07
n_escalated,lower,dual_metric vs risk_only,24,6200.583333333333,1917.0833333333333,4283.5,4019.6656249999996,4556.834374999999,1.1920928955078125e-07,1.0,9.5367431640625e-07
