experiment_id,model,method,policy,rounds_completed,complete,final_labeled_count,total_queries,total_unsafe_auto_accepts,final_accuracy,final_f1_macro,final_fn_rate_malignant,final_fn_rate_melanoma,mean_fn_rate_malignant,auroc_round1,auroc_final,auroc_mean
densenet169_entropy_dual_metric,densenet169,entropy,dual_metric,15,True,5263,4773,4495,0.889763779527559,0.8166412846028936,0.1977077363896848,0.2488038277511961,0.2504297994269341,0.8636923032632322,0.9107892685625204,0.9288993447108249
densenet169_entropy_uncertainty_only,densenet169,entropy,uncertainty_only,15,True,4974,4484,8275,0.8876640419947507,0.81923354466989,0.2292263610315186,0.2966507177033493,0.2508118433619866,0.8636923032632322,0.9829722039833662,0.9597867050711405
densenet169_least_confidence_dual_metric,densenet169,least_confidence,dual_metric,15,True,5312,4822,4334,0.9013123359580052,0.8131751094676122,0.2234957020057306,0.2822966507177033,0.2489016236867239,0.8636923032632322,0.9776772002095868,0.9356482295238628
densenet169_least_confidence_uncertainty_only,densenet169,least_confidence,uncertainty_only,15,True,4944,4454,8606,0.8913385826771654,0.8057850581008994,0.2177650429799427,0.3062200956937799,0.23667621776504297,0.8636923032632322,0.9906956080223408,0.9631878853424551
densenet169_margin_dual_metric,densenet169,margin,dual_metric,15,True,5307,4817,4412,0.8955380577427822,0.8215371983034218,0.2063037249283667,0.2488038277511961,0.25042979942693405,0.8636923032632322,0.8938658825451278,0.9233768710722937
densenet169_margin_uncertainty_only,densenet169,margin,uncertainty_only,15,True,4832,4342,8515,0.8908136482939633,0.8167270371420647,0.2435530085959885,0.3301435406698564,0.2557784145176695,0.8636923032632322,0.9950232215735033,0.9630566046761402
densenet169_mc_dropout_dual_metric,densenet169,mc_dropout,dual_metric,15,True,6243,5753,3647,0.8960629921259843,0.7944568416075782,0.2234957020057306,0.2966507177033493,0.24355300859598844,0.8636923032632322,0.9423019431988042,0.941722842139868
densenet169_mc_dropout_uncertainty_only,densenet169,mc_dropout,uncertainty_only,15,True,5962,5472,6704,0.8892388451443569,0.8101523311181861,0.2263610315186246,0.277511961722488,0.23667621776504297,0.8636923032632322,0.994352988289283,0.9672278422125753
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,15,True,4466,3976,7362,0.8745406824146982,0.7867847886572735,0.2435530085959885,0.3157894736842105,0.27029608404966576,0.8164842884081127,0.949310924369748,0.923644461034981
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,15,True,3846,3356,12346,0.8503937007874016,0.7487771967964997,0.2435530085959885,0.3110047846889952,0.26303724928366756,0.8164842884081127,0.9706811975084642,0.9343337828398421
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,15,True,4373,3883,7927,0.8719160104986876,0.7707543992537548,0.2406876790830945,0.3253588516746411,0.26475644699140394,0.8164842884081127,0.9602392755245461,0.9242953583804893
efficientnet_b4_least_confidence_uncertainty_only,efficientnet_b4,least_confidence,uncertainty_only,15,True,3980,3490,12425,0.8750656167979003,0.7658886016364306,0.2865329512893982,0.354066985645933,0.2689589302769818,0.8164842884081127,0.961971829625451,0.932476368505687
efficientnet_b4_margin_dual_metric,efficientnet_b4,margin,dual_metric,15,True,4778,4288,7156,0.8745406824146982,0.792106363881578,0.2521489971346705,0.3062200956937799,0.27736389684813756,0.8164842884081127,0.9744316663075684,0.9307958303304189
efficientnet_b4_margin_uncertainty_only,efficientnet_b4,margin,uncertainty_only,15,True,4361,3871,11330,0.8677165354330708,0.7700802942505393,0.2148997134670487,0.2870813397129186,0.26532951289398277,0.8164842884081127,0.9750939638519937,0.941158480076213
efficientnet_b4_mc_dropout_dual_metric,efficientnet_b4,mc_dropout,dual_metric,15,True,5164,4674,8563,0.8792650918635171,0.806493541398089,0.2292263610315186,0.2870813397129186,0.21719197707736387,0.8164842884081127,0.9682762051479556,0.9124096030114568
efficientnet_b4_mc_dropout_uncertainty_only,efficientnet_b4,mc_dropout,uncertainty_only,15,True,4670,4180,12922,0.8719160104986876,0.7624892447188881,0.2320916905444126,0.291866028708134,0.2154727793696275,0.8164842884081127,0.9756758762870054,0.9169924549401428
resnet50_entropy_dual_metric,resnet50,entropy,dual_metric,15,True,5168,4678,4945,0.8986876640419947,0.8103664162570544,0.2206303724928366,0.2727272727272727,0.28538681948424066,0.8513820155172661,0.929513061244345,0.9108953625729505
resnet50_entropy_uncertainty_only,resnet50,entropy,uncertainty_only,15,True,4774,4284,9327,0.8934383202099737,0.7960523129162121,0.2406876790830945,0.3444976076555024,0.2825214899713467,0.8513820155172661,0.977374679721448,0.9457704005473525
resnet50_least_confidence_dual_metric,resnet50,least_confidence,dual_metric,15,True,5085,4595,4927,0.8971128608923884,0.8231297248464784,0.2177650429799427,0.2870813397129186,0.2821394460362942,0.8513820155172661,0.9120119920790327,0.9204369059259803
resnet50_least_confidence_uncertainty_only,resnet50,least_confidence,uncertainty_only,15,True,4808,4318,8645,0.8934383202099737,0.8037228441415714,0.2034383954154728,0.2631578947368421,0.2565425023877746,0.8513820155172661,0.9767267954187833,0.9565054994736494
resnet50_margin_dual_metric,resnet50,margin,dual_metric,15,True,5180,4690,4680,0.8955380577427822,0.7968638366866349,0.2263610315186246,0.291866028708134,0.26437440305635146,0.8513820155172661,0.9042089985486211,0.9253726349714885
resnet50_margin_uncertainty_only,resnet50,margin,uncertainty_only,15,True,5026,4536,7772,0.8944881889763779,0.8072715220273363,0.2521489971346705,0.3349282296650718,0.2660936007640878,0.8513820155172661,0.9876040565215289,0.9635190465159025
resnet50_mc_dropout_dual_metric,resnet50,mc_dropout,dual_metric,15,True,6725,6235,3599,0.8913385826771654,0.7973239640896883,0.1919770773638968,0.2583732057416268,0.24068767908309446,0.8513820155172661,0.9912797035099193,0.9558973161116037
resnet50_mc_dropout_uncertainty_only,resnet50,mc_dropout,uncertainty_only,15,True,6298,5808,7546,0.8881889763779528,0.8204168590821423,0.2263610315186246,0.3157894736842105,0.23915950334288433,0.8513820155172661,0.9953341503945546,0.9651854530057296
