kind,target,policy,auc_mean,auc_std,ci_low,ci_high,pr_auc
class_probability,akiec,dual_metric,0.9683426049312209,0.012195051424237794,0.9466627642567763,0.9856306484738601,0.7247942597454379
class_probability,akiec,uncertainty_only,0.9574423080990756,0.008626319363398161,0.9262345601517791,0.982183054905759,0.6888792691284366
class_probability,bcc,dual_metric,0.994263434473428,0.00232846497296299,0.9888789452294473,0.9980990694441383,0.9371071804244693
class_probability,bcc,uncertainty_only,0.9927699990925439,0.004151030497421376,0.9854531106528528,0.9976497377740405,0.9265718904784918
class_probability,bkl,dual_metric,0.9668837180065943,0.004093617023281306,0.9542032403840267,0.9776008239031592,0.8448076066151756
class_probability,bkl,uncertainty_only,0.9664013287846839,0.0068538494203862444,0.9541013769564904,0.9769950940236848,0.829437744741054
class_probability,df,dual_metric,0.9980954055321144,0.002406095241092388,0.9935298703478431,1.0,0.9183801618830758
class_probability,df,uncertainty_only,0.9941787779340522,0.011300580412659406,0.9802672625461094,1.0,0.9122347086542383
class_probability,mel,dual_metric,0.9476865069513406,0.005992791599369429,0.9311074323693225,0.9619697535346385,0.7918841892145415
class_probability,mel,uncertainty_only,0.9431545469591646,0.008883983215062877,0.9260495336723943,0.9581452490961455,0.7705207185451405
class_probability,nv,dual_metric,0.9702610431556815,0.0041350623543334325,0.9625173854597846,0.9771848056348107,0.9853975470393892
class_probability,nv,uncertainty_only,0.9691704932338644,0.0045591642815829315,0.9615553607273383,0.9760761308444255,0.9854289898418375
class_probability,vasc,dual_metric,0.9945449623530004,0.006430487133966475,0.9837537783769209,1.0,0.9218609691081593
class_probability,vasc,uncertainty_only,0.9946393946261741,0.00833549710994153,0.9821264519312253,1.0,0.9385662436287389
risk_head,malignant,dual_metric,0.9548075294082984,0.005658169101253857,0.9427136620220916,0.9654186716133498,0.8730442609780237
risk_head,malignant,uncertainty_only,0.949260633883565,0.008592573639921119,0.9359360943190156,0.9609534714204776,0.8578510265253648
summed_class_probs,malignant,dual_metric,0.9551033924813951,0.005338851439004535,0.9427906310495562,0.9658991544615579,0.8745632158290163
summed_class_probs,malignant,uncertainty_only,0.9496581615240509,0.008151085965877146,0.9363402180831079,0.9613813484918637,0.8595860554927762
